model,indicators,fold,threshold,recall,precision,FP,FN,specificity,balanced_accuracy,TP,TN,flagged
small_forest,True,1,0.2,1.0,0.07327586206896551,215,0,0.0811965811965812,0.5405982905982906,17,19,232
small_forest,True,2,0.2,1.0,0.07488986784140969,210,0,0.10256410256410256,0.5512820512820513,17,24,227
small_forest,True,3,0.2,0.8823529411764706,0.06637168141592921,211,2,0.09829059829059829,0.4903217697335344,15,23,226
small_forest,True,4,0.2,1.0,0.07048458149779736,211,0,0.09829059829059829,0.5491452991452992,16,23,227
small_forest,True,5,0.2,1.0,0.06837606837606838,218,0,0.06837606837606838,0.5341880341880342,16,16,234
small_forest,True,1,0.5,0.35294117647058826,0.2727272727272727,16,11,0.9316239316239316,0.64228255404726,6,218,22
small_forest,True,2,0.5,0.4117647058823529,0.3333333333333333,14,10,0.9401709401709402,0.6759678230266466,7,220,21
small_forest,True,3,0.5,0.17647058823529413,0.14285714285714285,18,14,0.9230769230769231,0.5497737556561086,3,216,21
small_forest,True,4,0.5,0.3125,0.35714285714285715,9,11,0.9615384615384616,0.6370192307692308,5,225,14
small_forest,True,5,0.5,0.125,0.15384615384615385,11,14,0.9529914529914529,0.5389957264957265,2,223,13
small_forest,True,1,0.8,0.0,,0,17,1.0,0.5,0,234,0
small_forest,True,2,0.8,0.0,,0,17,1.0,0.5,0,234,0
small_forest,True,3,0.8,0.0,,0,17,1.0,0.5,0,234,0
small_forest,True,4,0.8,0.0,,0,16,1.0,0.5,0,234,0
small_forest,True,5,0.8,0.0,,0,16,1.0,0.5,0,234,0
shallow_boosting,False,1,0.2,0.29411764705882354,0.13513513513513514,32,12,0.8632478632478633,0.5786827551533434,5,202,37
shallow_boosting,False,2,0.2,0.5294117647058824,0.1875,39,8,0.8333333333333334,0.6813725490196079,9,195,48
shallow_boosting,False,3,0.2,0.35294117647058826,0.15,34,11,0.8547008547008547,0.6038210155857214,6,200,40
shallow_boosting,False,4,0.2,0.375,0.1875,26,10,0.8888888888888888,0.6319444444444444,6,208,32
shallow_boosting,False,5,0.2,0.4375,0.18421052631578946,31,9,0.8675213675213675,0.6525106837606838,7,203,38
shallow_boosting,False,1,0.5,0.17647058823529413,0.23076923076923078,10,14,0.9572649572649573,0.5668677727501257,3,224,13
shallow_boosting,False,2,0.5,0.17647058823529413,0.6,2,14,0.9914529914529915,0.5839617898441428,3,232,5
shallow_boosting,False,3,0.5,0.058823529411764705,0.14285714285714285,6,16,0.9743589743589743,0.5165912518853695,1,228,7
shallow_boosting,False,4,0.5,0.1875,0.42857142857142855,4,13,0.9829059829059829,0.5852029914529915,3,230,7
shallow_boosting,False,5,0.5,0.125,0.25,6,14,0.9743589743589743,0.5496794871794872,2,228,8
shallow_boosting,False,1,0.8,0.0,0.0,1,17,0.9957264957264957,0.49786324786324787,0,233,1
shallow_boosting,False,2,0.8,0.0,0.0,1,17,0.9957264957264957,0.49786324786324787,0,233,1
shallow_boosting,False,3,0.8,0.0,,0,17,1.0,0.5,0,234,0
shallow_boosting,False,4,0.8,0.0,,0,16,1.0,0.5,0,234,0
shallow_boosting,False,5,0.8,0.0,0.0,1,16,0.9957264957264957,0.49786324786324787,0,233,1
shallow_boosting,True,1,0.2,0.29411764705882354,0.13513513513513514,32,12,0.8632478632478633,0.5786827551533434,5,202,37
shallow_boosting,True,2,0.2,0.5294117647058824,0.1875,39,8,0.8333333333333334,0.6813725490196079,9,195,48
shallow_boosting,True,3,0.2,0.35294117647058826,0.15,34,11,0.8547008547008547,0.6038210155857214,6,200,40
shallow_boosting,True,4,0.2,0.375,0.1875,26,10,0.8888888888888888,0.6319444444444444,6,208,32
shallow_boosting,True,5,0.2,0.4375,0.18421052631578946,31,9,0.8675213675213675,0.6525106837606838,7,203,38
shallow_boosting,True,1,0.5,0.17647058823529413,0.23076923076923078,10,14,0.9572649572649573,0.5668677727501257,3,224,13
shallow_boosting,True,2,0.5,0.17647058823529413,0.6,2,14,0.9914529914529915,0.5839617898441428,3,232,5
shallow_boosting,True,3,0.5,0.058823529411764705,0.14285714285714285,6,16,0.9743589743589743,0.5165912518853695,1,228,7
shallow_boosting,True,4,0.5,0.1875,0.42857142857142855,4,13,0.9829059829059829,0.5852029914529915,3,230,7
shallow_boosting,True,5,0.5,0.125,0.25,6,14,0.9743589743589743,0.5496794871794872,2,228,8
shallow_boosting,True,1,0.8,0.0,0.0,1,17,0.9957264957264957,0.49786324786324787,0,233,1
shallow_boosting,True,2,0.8,0.0,0.0,1,17,0.9957264957264957,0.49786324786324787,0,233,1
shallow_boosting,True,3,0.8,0.0,,0,17,1.0,0.5,0,234,0
shallow_boosting,True,4,0.8,0.0,,0,16,1.0,0.5,0,234,0
shallow_boosting,True,5,0.8,0.0,0.0,1,16,0.9957264957264957,0.49786324786324787,0,233,1
