model,indicators,fold,threshold,recall,precision,FP,FN,specificity,balanced_accuracy,TP,TN,flagged
shallow_boosting,True,1,0.4,0.29411764705882354,0.2631578947368421,14,12,0.9401709401709402,0.6171442936148819,5,220,19
shallow_boosting,True,2,0.4,0.17647058823529413,0.25,9,14,0.9615384615384616,0.5690045248868778,3,225,12
shallow_boosting,True,3,0.4,0.058823529411764705,0.09090909090909091,10,16,0.9572649572649573,0.508044243338361,1,224,11
shallow_boosting,True,4,0.4,0.25,0.3076923076923077,9,12,0.9615384615384616,0.6057692307692308,4,225,13
shallow_boosting,True,5,0.4,0.125,0.16666666666666666,10,14,0.9572649572649573,0.5411324786324787,2,224,12
shallow_boosting,True,1,0.45,0.17647058823529413,0.2,12,14,0.9487179487179487,0.5625942684766214,3,222,15
shallow_boosting,True,2,0.45,0.17647058823529413,0.5,3,14,0.9871794871794872,0.5818250377073907,3,231,6
shallow_boosting,True,3,0.45,0.058823529411764705,0.125,7,16,0.9700854700854701,0.5144544997486173,1,227,8
shallow_boosting,True,4,0.45,0.25,0.4,6,12,0.9743589743589743,0.6121794871794872,4,228,10
shallow_boosting,True,5,0.45,0.125,0.2,8,14,0.9658119658119658,0.545405982905983,2,226,10
